file,alpha,beta,run,name,score,duration_ms,memory_kb
tsp/eil76.tsp,0.200000,0.500000,1,haco,579.000000,15013,1192
tsp/eil76.tsp,0.200000,0.500000,2,haco,585.000000,14553,1650
tsp/eil76.tsp,0.200000,0.500000,3,haco,610.000000,14480,1399
tsp/eil76.tsp,0.200000,0.500000,4,haco,573.000000,14198,1297
tsp/eil76.tsp,0.200000,0.500000,5,haco,589.000000,14264,2051
tsp/eil76.tsp,0.200000,0.500000,6,haco,586.000000,14228,837
tsp/eil76.tsp,0.200000,0.500000,7,haco,594.000000,14312,1286
tsp/eil76.tsp,0.200000,0.500000,8,haco,564.000000,14258,1587
tsp/eil76.tsp,0.200000,0.500000,9,haco,603.000000,14350,2489
tsp/eil76.tsp,0.200000,0.500000,10,haco,566.000000,14207,1749
tsp/eil76.tsp,0.200000,0.500000,11,haco,578.000000,14755,1695
tsp/eil76.tsp,0.200000,0.500000,12,haco,591.000000,14343,574
tsp/eil76.tsp,0.200000,0.500000,13,haco,584.000000,14531,1656
tsp/eil76.tsp,0.200000,0.500000,14,haco,568.000000,14595,1634
tsp/eil76.tsp,0.200000,0.500000,15,haco,572.000000,14384,1492
tsp/eil76.tsp,0.200000,0.500000,16,haco,562.000000,14579,2348
tsp/eil76.tsp,0.200000,0.500000,17,haco,580.000000,14465,314
tsp/eil76.tsp,0.200000,0.500000,18,haco,575.000000,14465,1572
tsp/eil76.tsp,0.200000,0.500000,19,haco,585.000000,14424,2494
tsp/eil76.tsp,0.200000,0.500000,20,haco,592.000000,14420,2648
tsp/eil76.tsp,0.200000,0.500000,1,aco,1572.000000,17350,857
tsp/eil76.tsp,0.200000,0.500000,2,aco,1710.000000,17655,756
tsp/eil76.tsp,0.200000,0.500000,3,aco,1667.000000,17409,711
tsp/eil76.tsp,0.200000,0.500000,4,aco,1670.000000,17629,589
tsp/eil76.tsp,0.200000,0.500000,5,aco,1689.000000,17415,901
tsp/eil76.tsp,0.200000,0.500000,6,aco,1721.000000,17399,1611
tsp/eil76.tsp,0.200000,0.500000,7,aco,1655.000000,17618,672
tsp/eil76.tsp,0.200000,0.500000,8,aco,1661.000000,17419,494
tsp/eil76.tsp,0.200000,0.500000,9,aco,1675.000000,17726,1439
tsp/eil76.tsp,0.200000,0.500000,10,aco,1694.000000,17441,2686
tsp/eil76.tsp,0.200000,0.500000,11,aco,1704.000000,17351,1372
tsp/eil76.tsp,0.200000,0.500000,12,aco,1662.000000,17793,2150
tsp/eil76.tsp,0.200000,0.500000,13,aco,1615.000000,17457,2295
tsp/eil76.tsp,0.200000,0.500000,14,aco,1650.000000,17491,1236
tsp/eil76.tsp,0.200000,0.500000,15,aco,1657.000000,17568,1031
tsp/eil76.tsp,0.200000,0.500000,16,aco,1687.000000,17451,2718
tsp/eil76.tsp,0.200000,0.500000,17,aco,1620.000000,17685,835
tsp/eil76.tsp,0.200000,0.500000,18,aco,1672.000000,17360,1359
tsp/eil76.tsp,0.200000,0.500000,19,aco,1604.000000,17302,747
tsp/eil76.tsp,0.200000,0.500000,20,aco,1671.000000,17687,639
tsp/eil76.tsp,0.200000,1.000000,1,haco,586.000000,14677,2252
tsp/eil76.tsp,0.200000,1.000000,2,haco,574.000000,14680,318
tsp/eil76.tsp,0.200000,1.000000,3,haco,575.000000,14754,1882
tsp/eil76.tsp,0.200000,1.000000,4,haco,596.000000,14637,504
tsp/eil76.tsp,0.200000,1.000000,5,haco,562.000000,14616,1442
tsp/eil76.tsp,0.200000,1.000000,6,haco,572.000000,14805,2766
tsp/eil76.tsp,0.200000,1.000000,7,haco,565.000000,14526,1259
tsp/eil76.tsp,0.200000,1.000000,8,haco,595.000000,14509,471
tsp/eil76.tsp,0.200000,1.000000,9,haco,561.000000,14867,1751
tsp/eil76.tsp,0.200000,1.000000,10,haco,573.000000,14506,2253
tsp/eil76.tsp,0.200000,1.000000,11,haco,584.000000,14369,2630
