file,gensize,run,name,score,auc,itb,duration_ms,memory_kb
tsp/swiss42.tsp,1000,2,haco_with_local,1273.000000,1308570.500000,20,4911,1690
tsp/swiss42.tsp,1000,3,haco_with_local,1273.000000,1355206.000000,20,4873,1543
tsp/swiss42.tsp,1000,4,haco_with_local,1273.000000,1352307.000000,0,4903,2640
tsp/swiss42.tsp,1000,5,haco_with_local,1273.000000,1330997.000000,80,4936,1427
tsp/swiss42.tsp,1000,6,haco_with_local,1273.000000,1299434.000000,30,4849,164
tsp/swiss42.tsp,1000,7,haco_with_local,1273.000000,1288089.500000,15,4880,1334
tsp/swiss42.tsp,1000,8,haco_with_local,1273.000000,1324429.000000,0,4784,884
tsp/swiss42.tsp,1000,9,haco_with_local,1273.000000,1304770.000000,0,4752,3110
tsp/swiss42.tsp,1000,10,haco_with_local,1273.000000,1310827.000000,25,4775,723
tsp/swiss42.tsp,1000,11,haco_with_local,1273.000000,1320123.500000,5,4766,1047
tsp/swiss42.tsp,1000,12,haco_with_local,1273.000000,1311487.000000,20,4749,1319
tsp/swiss42.tsp,1000,13,haco_with_local,1273.000000,1358910.500000,0,4793,1090
tsp/swiss42.tsp,1000,14,haco_with_local,1273.000000,1353648.000000,10,4758,3085
tsp/swiss42.tsp,1000,15,haco_with_local,1273.000000,1299062.500000,0,4780,3208
tsp/swiss42.tsp,1000,16,haco_with_local,1273.000000,1300169.000000,35,4745,1563
tsp/swiss42.tsp,1000,17,haco_with_local,1273.000000,1323727.000000,0,4767,2280
tsp/swiss42.tsp,1000,18,haco_with_local,1273.000000,1349578.000000,40,4801,1250
tsp/swiss42.tsp,1000,19,haco_with_local,1273.000000,1346276.000000,35,4747,1070
tsp/swiss42.tsp,1000,20,haco_with_local,1273.000000,1302309.500000,30,4776,2067
tsp/swiss42.tsp,500,1,haco_with_local,1273.000000,675607.000000,60,2421,1500
tsp/swiss42.tsp,500,2,haco_with_local,1273.000000,677769.000000,20,2429,1127
tsp/swiss42.tsp,500,3,haco_with_local,1273.000000,653471.500000,25,2393,579
tsp/swiss42.tsp,500,4,haco_with_local,1273.000000,677956.500000,120,2426,1088
tsp/swiss42.tsp,500,5,haco_with_local,1273.000000,662420.500000,35,2402,784
tsp/swiss42.tsp,500,6,haco_with_local,1273.000000,674087.500000,15,2412,843
tsp/swiss42.tsp,500,7,haco_with_local,1273.000000,652798.500000,35,2378,1583
tsp/swiss42.tsp,500,8,haco_with_local,1273.000000,664224.500000,60,2392,1273
tsp/swiss42.tsp,500,9,haco_with_local,1273.000000,676358.000000,0,2409,1355
tsp/swiss42.tsp,500,10,haco_with_local,1273.000000,680462.500000,45,2418,2296
tsp/swiss42.tsp,500,11,haco_with_local,1273.000000,670243.500000,80,2418,2321
tsp/swiss42.tsp,500,12,haco_with_local,1273.000000,670166.000000,20,2383,2122
tsp/swiss42.tsp,500,13,haco_with_local,1273.000000,655084.500000,240,2392,1326
tsp/swiss42.tsp,500,14,haco_with_local,1273.000000,682763.500000,30,2427,1689
tsp/swiss42.tsp,500,15,haco_with_local,1273.000000,678457.000000,15,2427,1155
tsp/swiss42.tsp,500,16,haco_with_local,1273.000000,662814.000000,25,2389,1375
tsp/swiss42.tsp,500,17,haco_with_local,1273.000000,689295.500000,135,2375,1155
tsp/swiss42.tsp,500,18,haco_with_local,1273.000000,669126.500000,40,2387,1046
tsp/swiss42.tsp,500,19,haco_with_local,1273.000000,678487.000000,15,2401,1283
tsp/swiss42.tsp,500,20,haco_with_local,1273.000000,651181.500000,15,2364,1293
tsp/swiss42.tsp,800,1,haco_with_local,1273.000000,1075802.000000,45,3812,92
tsp/swiss42.tsp,800,2,haco_with_local,1273.000000,1086585.000000,15,3835,845
tsp/swiss42.tsp,800,3,haco_with_local,1273.000000,1090160.000000,10,3835,2096
tsp/swiss42.tsp,800,4,haco_with_local,1273.000000,1054108.500000,20,3837,1970
tsp/swiss42.tsp,800,5,haco_with_local,1273.000000,1074567.000000,35,3835,2601
tsp/swiss42.tsp,800,6,haco_with_local,1273.000000,1067773.500000,0,3846,2317
tsp/swiss42.tsp,800,7,haco_with_local,1273.000000,1039299.000000,40,3831,2505
tsp/swiss42.tsp,800,8,haco_with_local,1273.000000,1088524.500000,0,3812,407
tsp/swiss42.tsp,800,9,haco_with_local,1273.000000,1075246.000000,30,3831,2637
tsp/swiss42.tsp,800,10,haco_with_local,1273.000000,1068482.500000,20,3823,2426
tsp/swiss42.tsp,800,11,haco_with_local,1273.000000,1047786.500000,35,3806,1738
tsp/swiss42.tsp,800,12,haco_with_local,1273.000000,1040579.000000,10,3846,2091
tsp/swiss42.tsp,800,13,haco_with_local,1273.000000,1067086.500000,50,3868,2584
tsp/swiss42.tsp,800,14,haco_with_local,1273.000000,1050205.500000,20,3829,1819
tsp/swiss42.tsp,800,15,haco_with_local,1273.000000,1079403.500000,15,3838,2029
tsp/swiss42.tsp,800,16,haco_with_local,1273.000000,1057133.000000,0,3826,2964
tsp/swiss42.tsp,800,17,haco_with_local,1273.000000,1056016.500000,105,3851,2071
tsp/swiss42.tsp,800,18,haco_with_local,1273.000000,1047451.500000,5,3834,773
tsp/swiss42.tsp,800,19,haco_with_local,1273.000000,1048764.500000,30,3810,2354
tsp/swiss42.tsp,800,20,haco_with_local,1273.000000,1084399.000000,0,3817,2379
tsp/swiss42.tsp,1000,1,aco,1299.000000,1328190.000000,5,4029,2068
tsp/swiss42.tsp,1000,2,aco,1299.000000,1316619.000000,13,4008,2531
tsp/swiss42.tsp,1000,3,aco,1299.000000,1329534.500000,44,4006,2864
tsp/swiss42.tsp,1000,4,aco,1299.000000,1338093.500000,13,4033,790
tsp/swiss42.tsp,1000,5,aco,1299.000000,1335656.000000,14,4014,3008
tsp/swiss42.tsp,1000,6,aco,1299.000000,1332025.500000,8,4005,1161
tsp/swiss42.tsp,1000,7,aco,1299.000000,1328403.000000,23,3987,2299
tsp/swiss42.tsp,1000,8,aco,1299.000000,1329841.000000,26,4013,1380
tsp/swiss42.tsp,1000,9,aco,1295.000000,1314406.500000,268,3997,1944
tsp/swiss42.tsp,1000,10,aco,1299.000000,1331749.000000,34,4027,2154
tsp/swiss42.tsp,1000,11,aco,1299.000000,1335797.500000,7,3986,2694
tsp/swiss42.tsp,1000,12,aco,1299.000000,1327621.500000,36,4039,3074
tsp/swiss42.tsp,1000,13,aco,1299.000000,1333348.000000,12,4006,702
tsp/swiss42.tsp,1000,14,aco,1299.000000,1337378.500000,26,4032,489
tsp/swiss42.tsp,1000,15,aco,1299.000000,1334712.500000,30,3949,2197
tsp/swiss42.tsp,1000,16,aco,1299.000000,1338220.000000,22,4024,3073
tsp/swiss42.tsp,1000,17,aco,1297.000000,1334903.000000,444,4001,515
tsp/swiss42.tsp,1000,18,aco,1297.000000,1331113.500000,793,4021,266
tsp/swiss42.tsp,1000,19,aco,1299.000000,1334363.500000,37,4016,1000
tsp/swiss42.tsp,1000,20,aco,1299.000000,1333614.000000,15,4060,2490
tsp/swiss42.tsp,500,1,aco,1299.000000,664315.500000,13,2007,1680
tsp/swiss42.tsp,500,2,aco,1299.000000,669786.000000,11,1931,1575
tsp/swiss42.tsp,500,3,aco,1291.000000,653650.500000,13,1948,3055
tsp/swiss42.tsp,500,4,aco,1299.000000,670030.500000,21,1951,2315
tsp/swiss42.tsp,500,5,aco,1299.000000,655451.000000,39,1949,152
tsp/swiss42.tsp,500,6,aco,1291.000000,669100.500000,16,1954,2698
tsp/swiss42.tsp,500,7,aco,1299.000000,663769.500000,11,1965,2484
